date,Astrology,Horoscope,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2016-01-24,62,77,75,93,54,55,34,77,73,61,59,67,38,65
2016-01-31,73,76,78,82,55,48,27,78,66,58,60,72,55,75
2016-02-07,59,71,72,88,53,53,20,49,74,57,70,67,0,64
2016-02-14,53,73,77,85,49,59,25,48,64,60,63,71,0,65
2016-02-21,54,76,81,85,55,58,29,48,73,58,73,81,34,70
2016-02-28,65,75,81,85,49,46,26,45,72,57,75,70,36,65
2016-03-06,58,72,92,82,54,54,28,49,67,53,77,61,0,62
2016-03-13,53,76,84,92,52,54,28,46,69,53,74,63,37,74
2016-03-20,60,76,81,89,53,57,28,50,79,57,72,66,39,65
2016-03-27,62,75,70,90,52,51,25,66,65,50,68,62,33,58
2016-04-03,61,74,77,83,55,47,25,52,69,58,71,66,48,61
2016-04-10,56,76,71,86,52,52,24,58,78,63,76,68,28,60
2016-04-17,56,74,80,86,51,43,23,57,71,57,78,62,0,57
2016-04-24,57,75,76,85,61,50,22,64,78,56,66,61,28,59
2016-05-01,62,77,75,86,54,46,26,57,60,56,82,74,34,59
2016-05-08,60,74,77,91,54,46,27,50,65,58,87,61,48,76
2016-05-15,54,76,86,92,64,47,25,61,73,57,75,67,0,63
2016-05-22,60,75,79,94,59,60,22,46,76,56,66,65,31,61
2016-05-29,65,73,71,96,58,58,67,49,70,55,69,60,0,58
2016-06-05,59,75,72,93,58,56,50,51,71,60,65,65,0,55
2016-06-12,58,75,69,87,52,49,32,50,68,60,75,62,0,58
2016-06-19,58,77,78,85,57,51,27,51,81,57,34,62,32,57
2016-06-26,61,80,77,80,54,50,27,51,77,53,55,65,42,55
2016-07-03,63,76,78,83,57,54,26,52,80,56,73,58,0,56
2016-07-10,54,77,94,79,57,56,25,51,63,57,64,56,47,53
2016-07-17,54,83,95,86,57,49,49,57,71,59,67,61,39,56
2016-07-24,52,78,100,83,64,55,36,61,81,56,62,60,34,57
2016-07-31,59,83,93,91,61,53,58,62,64,55,81,59,37,59
2016-08-07,52,76,86,81,61,51,30,57,68,50,72,55,36,49
2016-08-14,57,78,78,88,60,48,28,53,56,51,70,57,0,49
2016-08-21,56,73,97,82,58,43,33,63,64,52,75,60,69,53
2016-08-28,69,77,77,88,64,41,38,60,64,58,73,66,36,53
2016-09-04,61,73,82,80,69,48,60,59,73,55,59,78,31,59
2016-09-11,70,79,78,77,63,68,100,62,62,55,64,88,0,52
2016-09-18,82,93,82,85,56,56,39,63,62,58,82,88,32,55
2016-09-25,100,100,78,84,62,54,32,63,71,53,65,91,50,57
2016-10-02,67,77,78,75,58,49,36,63,68,59,91,90,31,56
2016-10-09,53,75,78,79,56,58,26,73,60,61,75,86,32,62
2016-10-16,58,76,76,86,56,56,29,83,74,62,70,89,45,62
2016-10-23,49,68,76,77,56,50,30,79,70,62,64,91,0,60
2016-10-30,59,70,83,76,62,52,28,97,79,94,66,98,0,64
2016-11-06,48,63,93,69,61,46,26,100,70,76,80,75,32,56
2016-11-13,54,67,74,71,62,45,25,67,68,61,71,76,33,61
2016-11-20,50,67,86,75,57,48,27,55,77,60,77,65,0,67
2016-11-27,60,71,71,69,59,50,24,57,68,57,57,70,0,55
2016-12-04,54,75,68,69,61,51,21,66,69,57,90,70,0,60
2016-12-11,50,69,67,70,62,44,23,80,59,54,61,67,0,60
2016-12-18,51,70,68,70,69,33,22,76,59,55,68,56,100,72
2016-12-25,61,73,74,80,88,47,24,73,67,50,64,59,61,80
2017-01-01,68,93,79,86,100,44,25,83,75,57,66,63,26,82
2017-01-08,62,75,74,80,78,44,28,75,71,55,80,66,0,86
2017-01-15,57,73,71,71,75,46,25,72,69,58,78,66,28,70
2017-01-22,58,75,71,77,67,53,24,83,76,63,58,70,26,67
2017-01-29,72,73,70,78,64,55,25,99,67,56,71,72,25,66
2017-02-05,59,67,67,82,60,51,22,49,68,65,72,77,38,65
2017-02-12,53,72,72,80,61,59,24,56,69,61,70,63,37,69
2017-02-19,53,70,77,75,61,48,25,50,67,60,70,75,42,67
2017-02-26,52,66,68,72,63,46,28,50,73,60,78,77,29,60
2017-03-05,51,65,71,66,60,47,27,49,64,57,70,73,29,63
2017-03-12,54,67,74,70,59,45,27,52,73,57,74,69,0,68
2017-03-19,50,67,73,76,63,46,28,55,74,63,82,68,46,69
2017-03-26,55,70,76,68,61,41,26,58,61,57,76,66,0,68
2017-04-02,51,69,71,68,61,49,23,57,68,100,71,66,31,67
2017-04-09,51,68,69,70,58,59,21,68,68,60,60,67,34,63
2017-04-16,51,71,72,65,59,49,21,68,58,58,100,61,38,57
2017-04-23,45,71,73,68,59,46,23,72,54,55,68,66,34,52
2017-04-30,57,73,73,75,57,51,22,69,52,56,78,69,0,58
2017-05-07,51,71,74,70,58,39,22,61,55,56,71,69,0,59
2017-05-14,49,72,68,83,55,42,20,57,63,59,84,70,35,60
2017-05-21,49,72,73,94,62,52,23,62,51,61,73,62,45,59
2017-05-28,59,73,76,99,65,51,24,57,70,65,59,66,41,62
2017-06-04,56,73,69,84,70,51,24,72,65,56,68,64,30,59
2017-06-11,56,69,70,90,62,54,25,50,64,57,50,58,0,60
2017-06-18,65,73,84,95,65,51,31,53,73,63,62,63,28,60
