date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2009-09-01,38,35,23,58,40,41,25,53,36,20,30,23,19,30,62
2009-10-01,36,36,33,55,45,34,30,59,33,27,34,36,22,12,67
2009-11-01,35,34,26,52,42,37,35,52,43,24,30,31,24,19,64
2009-12-01,42,41,23,49,39,46,35,36,36,25,32,16,19,0,72
2010-01-01,44,42,23,55,38,40,34,51,26,23,31,28,20,15,54
2010-02-01,45,40,25,61,42,35,35,57,31,25,29,32,21,24,49
2010-03-01,38,37,24,60,48,41,32,52,35,21,29,24,22,17,53
2010-04-01,38,37,12,58,46,38,31,56,31,22,25,26,17,18,51
2010-05-01,35,37,26,56,45,34,31,48,29,16,31,30,23,21,58
2010-06-01,39,38,0,51,42,35,33,48,31,21,31,29,26,16,60
2010-07-01,37,35,26,100,47,36,33,56,33,23,36,16,29,18,47
2010-08-01,35,33,24,52,46,41,38,51,27,21,34,18,25,13,57
2010-09-01,34,35,25,57,47,34,28,50,28,19,34,21,25,16,42
2010-10-01,31,36,23,61,43,32,27,55,34,20,28,28,24,23,48
2010-11-01,34,36,21,49,40,37,30,51,33,20,28,27,24,13,43
2010-12-01,36,39,24,46,37,36,29,32,32,16,24,13,19,0,45
2011-01-01,59,66,31,68,53,69,44,61,25,22,35,32,25,21,53
2011-02-01,49,55,24,67,48,46,45,68,35,19,31,29,20,26,59
2011-03-01,45,53,24,73,45,42,44,61,34,22,34,37,25,24,52
2011-04-01,44,51,24,71,48,52,47,68,30,28,33,31,20,21,53
2011-05-01,39,49,24,74,47,38,51,63,29,22,34,35,20,20,64
2011-06-01,43,51,32,81,50,49,39,61,26,25,29,32,21,23,59
2011-07-01,43,51,30,86,48,51,55,73,35,26,31,33,20,20,48
2011-08-01,44,49,22,74,54,52,46,65,28,28,33,32,18,24,46
2011-09-01,42,54,24,73,54,47,38,69,36,24,34,36,21,22,54
2011-10-01,43,50,22,66,46,46,38,58,39,28,31,32,22,19,66
2011-11-01,45,52,17,62,45,52,43,56,45,27,33,23,22,19,59
2011-12-01,53,60,29,51,48,51,37,39,48,30,31,24,22,9,58
2012-01-01,49,67,31,66,46,53,37,59,40,24,31,26,24,21,72
2012-02-01,42,60,29,66,55,45,44,71,41,25,35,24,20,21,53
2012-03-01,42,57,22,68,55,44,44,91,43,24,35,20,34,24,59
2012-04-01,42,58,17,71,54,51,43,65,35,28,35,24,21,21,72
2012-05-01,50,58,22,67,62,45,43,70,39,25,31,30,22,24,68
2012-06-01,49,59,21,80,67,44,46,64,34,25,31,23,20,20,69
2012-07-01,44,61,26,71,65,45,41,66,41,25,34,28,17,19,54
2012-08-01,42,59,26,70,66,41,43,71,36,27,38,33,17,18,38
2012-09-01,43,60,29,71,64,45,37,70,39,20,36,36,21,22,51
2012-10-01,43,63,23,76,72,42,37,69,35,23,28,34,21,22,52
2012-11-01,46,67,20,78,70,41,36,59,40,26,30,30,20,22,52
2012-12-01,46,70,23,62,76,49,33,41,39,25,28,20,17,17,55
2013-01-01,45,72,21,69,78,49,34,64,34,24,28,24,21,22,51
2013-02-01,43,68,21,73,83,44,37,61,90,26,31,31,21,19,48
2013-03-01,43,68,23,76,86,39,45,68,74,27,32,22,22,17,52
2013-04-01,40,69,20,86,87,40,37,65,47,25,30,29,20,27,48
2013-05-01,41,72,26,78,87,43,41,62,37,26,30,30,22,19,51
2013-06-01,44,81,30,70,98,43,33,66,39,26,30,27,20,18,53
2013-07-01,44,81,28,70,97,48,43,69,35,22,30,26,17,21,63
2013-08-01,41,85,25,78,100,44,48,78,39,22,34,27,22,20,47
2013-09-01,42,85,21,76,91,39,40,66,38,20,29,29,23,18,54
2013-10-01,40,85,22,76,91,36,43,79,37,25,33,29,25,26,55
2013-11-01,41,89,19,73,89,40,37,67,44,23,31,26,26,16,52
2013-12-01,48,93,23,63,89,45,40,52,41,24,29,21,20,14,62
2014-01-01,44,100,25,66,91,45,39,78,37,19,29,23,24,17,53
2014-02-01,39,88,21,72,89,43,45,77,42,22,30,25,20,27,52
2014-03-01,40,89,20,71,91,42,44,87,66,23,34,32,20,24,49
2014-04-01,44,89,18,74,94,39,45,100,47,25,31,31,20,24,56
2014-05-01,44,89,20,73,94,38,40,82,35,23,33,35,19,16,52
2014-06-01,44,92,25,71,91,42,37,64,37,24,30,38,20,19,50
2014-07-01,48,90,22,76,93,40,42,67,33,23,33,27,16,15,52
2014-08-01,47,88,19,68,99,43,46,82,37,25,30,28,17,19,46
2014-09-01,48,86,19,74,92,41,32,67,35,20,32,30,20,17,54
2014-10-01,45,86,17,72,91,42,34,69,42,20,37,24,23,20,59
2014-11-01,38,79,18,65,83,39,36,65,46,20,38,25,23,19,56
2014-12-01,41,89,22,59,87,40,36,44,52,20,29,24,18,13,57
2015-01-01,40,95,18,68,90,43,45,65,37,21,30,26,19,24,61
2015-02-01,40,91,17,69,86,36,34,60,40,20,34,28,20,18,60
2015-03-01,45,90,21,65,93,37,55,72,44,20,35,27,20,22,61
2015-04-01,41,88,19,68,92,36,48,64,42,20,31,23,19,23,56
2015-05-01,40,85,26,69,93,40,44,70,39,20,33,26,20,17,56
2015-06-01,38,82,19,64,98,34,39,61,40,23,33,26,17,11,55
2015-07-01,39,90,19,64,92,38,38,66,38,27,32,31,16,19,55
2015-08-01,39,91,21,65,94,39,39,70,40,22,29,32,18,21,54
2015-09-01,43,86,30,62,89,35,31,65,36,22,30,36,19,21,65
2015-10-01,38,87,18,70,89,39,37,70,44,25,34,26,24,19,64
2015-11-01,37,79,24,72,86,36,34,67,43,21,31,27,25,14,62
2015-12-01,44,96,24,62,89,48,42,63,55,24,31,21,20,15,61
2016-01-01,39,94,20,71,89,46,37,66,43,19,38,29,24,14,56
2016-02-01,44,88,15,73,92,39,31,74,47,22,36,27,21,24,54
2016-03-01,37,81,14,74,83,38,34,68,41,20,34,27,20,15,52
2016-04-01,35,79,17,75,88,38,34,70,46,19,35,29,19,20,63
2016-05-01,36,78,22,70,79,39,35,73,42,22,37,26,20,21,61
2016-06-01,37,76,18,87,77,37,28,86,35,20,33,28,17,24,50
2016-07-01,38,77,19,85,82,42,29,63,39,20,32,26,18,20,53
2016-08-01,34,81,18,84,82,43,39,68,40,17,28,28,16,17,51
2016-09-01,42,90,18,76,78,39,27,80,44,14,32,33,19,15,55
2016-10-01,34,77,25,74,71,39,28,73,40,20,36,28,21,22,71
2016-11-01,33,71,14,70,64,43,30,61,45,20,35,27,18,16,61
2016-12-01,34,83,23,63,61,42,25,48,40,18,34,28,17,14,64
2017-01-01,36,89,19,66,71,51,40,62,38,18,32,26,23,19,79
2017-02-01,37,78,18,72,66,40,32,59,39,17,37,22,20,23,55
2017-03-01,33,76,18,66,62,42,34,63,36,17,34,29,20,21,61
2017-04-01,32,77,14,72,57,39,34,64,38,16,37,30,17,20,58
2017-05-01,29,75,19,65,69,42,27,72,35,14,36,28,17,21,61
2017-06-01,35,73,13,63,76,43,32,60,38,15,35,26,19,14,61
2017-07-01,34,76,17,67,78,44,39,61,38,18,31,24,18,16,53
2017-08-01,38,81,15,72,76,47,32,71,37,19,35,28,19,21,45
2017-09-01,35,79,19,70,68,45,28,81,39,15,29,22,20,16,56
2017-10-01,35,81,20,62,71,45,26,70,50,17,31,27,24,15,72
2017-11-01,37,82,19,64,78,43,27,62,46,16,33,25,23,21,54
2017-12-01,42,89,26,60,75,44,46,48,45,17,34,26,18,10,66
2018-01-01,39,90,20,66,82,52,48,59,43,16,34,32,22,19,60
2018-02-01,35,89,20,68,84,47,36,64,43,13,32,27,25,21,54
2018-03-01,35,77,20,59,84,40,36,81,43,14,31,24,18,23,54
2018-04-01,35,85,17,71,89,45,39,64,35,16,35,25,18,17,78
2018-05-01,33,81,14,65,80,42,36,54,36,14,30,24,17,14,100
2018-06-01,35,82,15,68,86,42,31,64,36,13,32,30,18,17,66
2018-07-01,38,85,15,76,80,44,33,57,35,15,33,20,16,16,61
2018-08-01,41,83,19,78,87,44,49,64,41,15,34,28,17,19,54
2018-09-01,40,78,16,81,84,44,37,61,34,14,31,30,24,21,61
2018-10-01,35,83,17,67,81,42,36,55,42,16,38,27,25,17,61
2018-11-01,37,86,16,67,83,49,26,61,44,15,32,28,24,16,58
2018-12-01,37,87,23,63,78,43,32,57,47,15,32,22,18,12,63
2019-01-01,38,89,25,68,82,50,30,62,37,13,31,24,21,20,69
2019-02-01,38,88,18,67,87,45,30,66,32,11,29,31,20,22,53
2019-03-01,37,82,18,71,86,44,36,62,38,13,31,29,18,17,53
2019-04-01,36,81,17,71,85,48,35,59,37,13,36,32,18,18,56
2019-05-01,34,84,10,65,85,53,47,61,35,13,33,27,17,18,57
2019-06-01,40,83,14,72,90,45,40,57,31,11,33,26,18,16,54
2019-07-01,39,84,13,67,92,48,41,58,34,12,33,32,17,19,57
2019-08-01,42,83,12,67,94,46,39,58,32,11,33,29,17,19,54
2019-09-01,38,79,12,70,86,45,32,58,35,12,33,29,23,20,62
2019-10-01,38,82,12,66,89,42,30,60,38,12,29,29,23,22,62
2019-11-01,36,83,17,67,85,44,33,52,45,12,31,28,20,18,54
2019-12-01,36,86,21,67,89,44,27,45,41,11,29,26,16,10,56
2020-01-01,42,86,15,73,91,56,29,58,40,12,30,30,21,16,61
2020-02-01,35,76,16,68,89,52,29,62,37,13,33,26,21,18,57
2020-03-01,34,61,14,69,70,40,28,43,35,15,31,23,21,17,51
2020-04-01,47,58,18,60,67,46,33,37,32,17,37,24,24,11,68
2020-05-01,37,62,20,64,76,44,37,40,44,15,36,24,29,10,67
2020-06-01,40,64,16,70,80,46,30,40,46,19,37,17,25,12,61
2020-07-01,43,79,18,71,86,47,30,42,42,14,37,27,36,16,53
2020-08-01,36,61,17,65,90,70,32,43,37,11,38,26,25,11,45
2020-09-01,36,63,16,62,86,46,22,40,40,12,30,22,25,10,50
2020-10-01,39,69,18,67,81,43,23,42,45,13,34,24,28,16,56
2020-11-01,39,62,15,63,75,41,21,29,43,12,32,21,23,8,57
2020-12-01,57,67,20,66,80,44,21,42,41,11,29,18,21,6,51
2021-01-01,51,71,18,65,78,47,25,35,42,15,29,24,27,22,58
2021-02-01,46,68,27,69,76,45,24,40,41,14,30,22,24,15,52
2021-03-01,44,66,13,64,76,41,28,39,36,14,29,17,23,16,45
2021-04-01,43,64,12,61,75,42,21,33,36,10,29,20,22,12,47
2021-05-01,42,66,14,64,75,76,22,36,39,11,42,23,24,14,55
2021-06-01,41,66,12,59,77,39,19,87,39,9,30,24,22,13,49
2021-07-01,39,74,20,69,79,40,29,41,38,10,30,21,22,19,47
2021-08-01,39,65,15,74,82,39,24,44,38,13,42,29,26,19,50
2021-09-01,35,63,13,75,78,39,20,46,38,9,27,38,24,19,47
2021-10-01,35,67,16,73,80,37,24,42,45,10,33,38,26,20,47
2021-11-01,41,61,16,64,72,37,17,40,43,9,27,26,24,17,44
2021-12-01,42,67,20,66,67,36,20,37,41,9,42,26,19,12,44
2022-01-01,46,68,21,64,72,52,22,48,42,12,39,29,28,14,50
2022-02-01,45,61,13,68,70,50,21,52,35,14,37,24,23,24,54
2022-03-01,42,57,15,63,70,41,22,47,38,20,40,27,26,17,47
2022-04-01,42,59,12,62,71,42,25,40,34,16,36,25,22,15,51
2022-05-01,40,58,15,58,70,41,24,45,33,13,34,26,23,18,52
2022-06-01,37,61,13,58,70,39,23,39,36,13,35,25,21,17,47
2022-07-01,39,63,14,57,67,44,21,41,39,13,33,26,19,14,48
2022-08-01,39,67,15,62,72,44,24,49,40,14,33,25,23,19,49
2022-09-01,39,58,15,63,66,39,20,44,41,13,34,20,25,16,56
2022-10-01,41,56,20,57,67,66,19,47,50,14,37,27,27,19,52
2022-11-01,38,60,17,66,61,70,16,41,62,13,33,19,24,20,52
2022-12-01,41,62,23,65,62,54,15,34,53,13,30,22,22,14,51
2023-01-01,37,69,11,85,70,65,21,48,39,14,36,30,23,20,62
2023-02-01,41,60,16,69,65,51,23,59,39,16,38,25,22,16,48
2023-03-01,38,61,10,64,62,53,20,46,40,15,36,27,23,23,51
2023-04-01,39,58,12,61,60,52,24,41,36,15,34,27,22,16,49
2023-05-01,37,58,10,51,59,75,23,33,37,11,32,28,22,21,49
2023-06-01,34,56,12,55,59,77,24,48,34,14,31,23,22,17,56
2023-07-01,35,55,16,54,59,72,26,41,33,15,32,26,21,23,50
2023-08-01,38,56,13,60,61,67,27,40,37,16,35,30,21,21,41
2023-09-01,36,57,13,61,59,65,22,60,40,15,31,20,24,17,51
2023-10-01,36,56,18,58,60,61,24,47,46,12,44,15,35,18,57
2023-11-01,34,54,18,58,50,69,21,44,47,11,38,24,24,21,48
2023-12-01,37,56,16,56,52,75,24,30,44,11,37,26,18,18,53
